 - A X,1120,Y,-56,Z,3072
 - A X,-96,Y,-16044,Z,-36
 - A X,-4,Y,-24,Z,2916
 - A X,-72,Y,-16016,Z,-96
 - A X,-112,Y,-16064,Z,2900
 - A X,1132,Y,-84,Z,2920
 - A X,1148,Y,-128,Z,2864
 - A X,-24,Y,-100,Z,-116
 - A X,-88,Y,-116,Z,2928
 - A X,-104,Y,-80,Z,2860
 - A X,1144,Y,-88,Z,-100
 - A X,-72,Y,-16052,Z,-64
 - A X,1144,Y,-116,Z,3076
 - A X,1116,Y,-104,Z,2916
 - A X,-96,Y,-92,Z,-80
 - A X,1148,Y,-16020,Z,2896
 - A X,1088,Y,-16032,Z,-48
 - A X,1104,Y,-16068,Z,-4
 - A X,-92,Y,-96,Z,-32
 - A X,1148,Y,-116,Z,2860
 - A X,1140,Y,-36,Z,-16
 - A X,-124,Y,-96,Z,2924
 - A X,1080,Y,-124,Z,-64
 - A X,1084,Y,-112,Z,2872
 - A X,-124,Y,-84,Z,2884
 - A X,-72,Y,-104,Z,2916
 - A X,1080,Y,-96,Z,2900
 - A X,1088,Y,-104,Z,-72
 - A X,-56,Y,-56,Z,2896
 - A X,1072,Y,-48,Z,-12
 - A X,-92,Y,-48,Z,2928
 - A X,-104,Y,-64,Z,2916
 - A X,1104,Y,-16020,Z,-8
 - A X,1104,Y,-76,Z,2860
 - A X,-124,Y,-116,Z,-100
 - A X,-120,Y,-16012,Z,-128
 - A X,1100,Y,-112,Z,2916
 - A X,1112,Y,-80,Z,-92
 - A X,1136,Y,-16004,Z,-116
 - A X,-108,Y,-60,Z,2916
 - A X,1128,Y,-44,Z,3080
 - A X,1128,Y,-16032,Z,2836
 - A X,1128,Y,-28,Z,-12
 - A X,1144,Y,-112,Z,-88
 - A X,1116,Y,-116,Z,2932
 - A X,-100,Y,-84,Z,2876
 - A X,-72,Y,-16028,Z,2872
 - A X,1076,Y,-16012,Z,2940
 - A X,-16,Y,-15872,Z,2924
 - A X,1112,Y,-120,Z,-24
 - A X,-60,Y,-64,Z,-80
 - A X,1068,Y,-16036,Z,2912
 - A X,1120,Y,-16048,Z,2920
 - A X,1096,Y,-128,Z,-120
 - A X,1048,Y,-128,Z,2868
 - A X,1064,Y,-108,Z,-92
 - A X,1124,Y,-16040,Z,-44
 - A X,1120,Y,-108,Z,2884
 - A X,1048,Y,-32,Z,2896
 - A X,1144,Y,-124,Z,-56
 - A X,-128,Y,-16016,Z,-28
 - A X,-120,Y,-16024,Z,-120
 - A X,-56,Y,-92,Z,-8
 - A X,-16,Y,-80,Z,2916
 - A X,1120,Y,-120,Z,-80
 - A X,-88,Y,-104,Z,2920
 - A X,-104,Y,-24,Z,2908
 - A X,1140,Y,-72,Z,-76
 - A X,-76,Y,-76,Z,-112
 - A X,1136,Y,-16012,Z,-64
 - A X,1136,Y,-12,Z,-124
 - A X,1092,Y,-16020,Z,-112
 - A X,1048,Y,-16092,Z,-56
 - A X,1136,Y,-88,Z,2904
 - A X,-104,Y,-16048,Z,-80
 - A X,1132,Y,-124,Z,2828
 - A X,1076,Y,-48,Z,-120
 - A X,-128,Y,-100,Z,-112
 - A X,1104,Y,-16096,Z,-108
 - A X,1140,Y,-16020,Z,-96
 - A X,1120,Y,-104,Z,2936
 - A X,1100,Y,-108,Z,2892
 - A X,1108,Y,-16100,Z,-28
 - A X,1032,Y,-16004,Z,2856
 - A X,-8,Y,-16080,Z,2824
 - A X,1124,Y,-12,Z,3076
 - A X,-84,Y,-84,Z,2868
 - A X,-124,Y,-108,Z,-96
 - A X,-96,Y,-96,Z,-40
 - A X,1060,Y,-108,Z,-84
 - A X,-100,Y,-15852,Z,2920
 - A X,1124,Y,-40,Z,-68
 - A X,1128,Y,-96,Z,2936
 - A X,-124,Y,-16100,Z,2928
 - A X,1084,Y,-124,Z,2896
 - A X,-12,Y,-72,Z,2852
 - A X,1140,Y,-76,Z,2864
 - A X,1068,Y,-88,Z,3080
 - A X,1112,Y,-16028,Z,2928
 - A X,1064,Y,-60,Z,-68
 - A X,1048,Y,-112,Z,-32
 - A X,1068,Y,-36,Z,-8
 - A X,-44,Y,-68,Z,-116
 - A X,1040,Y,-60,Z,3116
 - A X,1096,Y,-15852,Z,3080
 - A X,-128,Y,-16012,Z,2920
 - A X,-104,Y,-60,Z,3108
 - A X,1104,Y,-124,Z,2864
 - A X,-120,Y,-112,Z,-88
 - A X,1048,Y,-15860,Z,2908
 - A X,1136,Y,-116,Z,-64
 - A X,1096,Y,-68,Z,-80
 - A X,1136,Y,-104,Z,-28
 - A X,-8,Y,-104,Z,-12
 - A X,1132,Y,-72,Z,-88
 - A X,1064,Y,-44,Z,-84
 - A X,1136,Y,-128,Z,-76
 - A X,1104,Y,-116,Z,-76
 - A X,1088,Y,-128,Z,2908
 - A X,1148,Y,-76,Z,-108
 - A X,-24,Y,-52,Z,2860
 - A X,1084,Y,-56,Z,2912
 - A X,1096,Y,-104,Z,2940
 - A X,1124,Y,-104,Z,-72
 - A X,1140,Y,-16036,Z,2852
 - A X,1148,Y,-16020,Z,-20
 - A X,-96,Y,-104,Z,-60
 - A X,-116,Y,-124,Z,2912
 - A X,1120,Y,-60,Z,2852
 - A X,1120,Y,-48,Z,2940
 - A X,-104,Y,-16004,Z,-64
 - A X,1092,Y,-64,Z,3120
 - A X,-80,Y,-72,Z,-84
 - A X,1092,Y,-84,Z,2908
 - A X,1112,Y,-80,Z,-112
 - A X,1124,Y,-15860,Z,-40
 - A X,-120,Y,-84,Z,-68
 - A X,1084,Y,-20,Z,-108
 - A X,1088,Y,-16012,Z,-80
 - A X,-116,Y,-40,Z,-108
 - A X,-88,Y,-104,Z,2920
 - A X,-116,Y,-16004,Z,-80
 - A X,-124,Y,-16004,Z,-60
 - A X,-60,Y,-84,Z,2892
 - A X,1088,Y,-32,Z,-124
 - A X,1136,Y,-40,Z,2920
 - A X,1076,Y,-120,Z,-20
 - A X,1148,Y,-48,Z,2860
 - A X,1148,Y,-120,Z,-124
 - A X,1084,Y,-76,Z,3144
 - A X,1108,Y,-16056,Z,-16
 - A X,1044,Y,-96,Z,-104
 - A X,1096,Y,-16016,Z,2892
 - A X,1064,Y,-96,Z,2904
 - A X,-112,Y,-128,Z,-92
 - A X,-104,Y,-128,Z,-44
 - A X,-112,Y,-16008,Z,-88
 - A X,-92,Y,-16040,Z,2876
 - A X,-92,Y,-116,Z,2920
 - A X,1132,Y,-56,Z,2920
 - A X,1080,Y,-36,Z,2900
 - A X,1100,Y,-124,Z,-84
 - A X,-128,Y,-15824,Z,-76
 - A X,1124,Y,-16096,Z,-36
 - A X,-104,Y,-108,Z,-28
 - A X,1136,Y,-16032,Z,3120
 - A X,-60,Y,-16040,Z,-4
 - A X,1092,Y,-108,Z,2932
 - A X,1060,Y,-100,Z,-60
